t,T,S,o,position,trading_action,current_capital,stop_loss_out_signal,rsi,open_small_indicator,open_big_indicator,open_norm,gain_loss,gain,loss,avg_gain,avg_loss,amount_sold,amount_bought
2023-11-15T14:41:00Z,b,SE,38.1,long,no_action,0.0,,93.87860414113423,0.08298313700096402,0.04312167176390486,0.7196719363007293,0.25,0.25,-0.0,0.12128333333333312,0.007908333333332962,,
2023-11-15T14:42:00Z,b,SE,37.98,long,no_action,13156.184050437982,,85.9524120800104,0.08893970659221091,0.04641207478937254,0.6384459873291801,-0.12000000000000455,0.0,0.12000000000000455,0.10957499999999953,0.017908333333333342,,
2023-11-15T14:43:00Z,b,SE,38.05,long,no_action,13156.184050437982,,85.85998157652318,0.08948121291868778,0.04960846629982687,0.6858277908959155,0.07000000000000028,0.07000000000000028,-0.0,0.10874166666666636,0.017908333333333342,,
2023-11-15T14:44:00Z,b,SE,38.34,long,no_action,13156.184050437982,,88.61540171130117,0.07986947562372138,0.05435604780800172,0.8821238342438231,0.29000000000000625,0.29000000000000625,-0.0,0.13290833333333354,0.017075000000000173,,
2023-11-15T14:45:00Z,b,SE,38.1,long,no_action,13156.184050437982,,78.18903814099409,0.0740482826140938,0.058022496893522874,0.7196719363007293,-0.240000000000002,0.0,0.240000000000002,0.13290833333333354,0.03707500000000034,,
2023-11-15T14:46:00Z,b,SE,37.8601,long,no_action,13156.184050437982,,69.49258252773198,0.045895368700555925,0.060091220281391945,0.5572877266484475,-0.23989999999999867,0.0,0.23989999999999867,0.12999166666666717,0.0570666666666669,,
2023-11-15T14:47:00Z,b,SE,37.998,long,no_action,13156.184050437982,,65.4594976293755,0.029460651691979735,0.05881266367721021,0.6506298796749125,0.1378999999999948,0.1378999999999948,-0.0,0.10815000000000019,0.0570666666666669,,
2023-11-15T14:48:00Z,b,SE,37.99,long,no_action,13156.184050437982,,68.10096027706356,0.012673955571193796,0.05783353374834602,0.6452148164101457,-0.007999999999995566,0.0,0.007999999999995566,0.10815000000000019,0.050658333333333395,,
2023-11-15T14:49:00Z,b,SE,37.965,out,sell_previous_long_position,13156.184050437982,,66.25972918221572,-0.011016946212173884,0.05691692147696576,0.6282927437077412,-0.02499999999999858,0.0,0.02499999999999858,0.10357500000000049,0.05274166666666661,,
2023-11-15T14:50:00Z,b,SE,37.97,out,no_action,26795.91657323733,,63.74727918432804,-0.021305566415236465,0.05475465663165835,0.6316771582482192,0.0049999999999954525,0.0049999999999954525,-0.0,0.09274166666666635,0.05274166666666661,,
2023-11-15T14:51:00Z,b,SE,38.08,out,no_action,26795.91657323733,,57.96918581484911,-0.008856335969530994,0.05005408088099015,0.7061342781388028,0.10999999999999943,0.10999999999999943,-0.0,0.07274166666666619,0.05274166666666661,,
2023-11-15T14:52:00Z,b,SE,38.0801,out,no_action,26795.91657323733,,57.691022127147555,-0.007120808193172179,0.04620007882301728,0.7062019664296147,0.00010000000000331966,0.00010000000000331966,-0.0,0.07191666666666663,0.05274166666666661,,
2023-11-15T14:53:00Z,b,SE,38.155,out,no_action,26795.91657323733,,52.08207147183525,-0.0010288620203063648,0.04006347718051995,0.7569004962460212,0.07489999999999952,0.07489999999999952,-0.0,0.057324999999999925,0.05274166666666661,,
2023-11-15T14:54:00Z,b,SE,38.08,long,buy_next_long_position,26795.91657323733,,53.919109578303875,0.012238042978379382,0.035362901429851795,0.7061342781388028,-0.07500000000000284,0.0,0.07500000000000284,0.057324999999999925,0.04899166666666647,,
2023-11-15T14:55:00Z,b,SE,37.96,out,sell_previous_long_position,13397.958286618665,stop_loss_long,46.60582289938163,0.015487080937241337,0.029816222044063378,0.6249083291672584,-0.11999999999999744,0.0,0.11999999999999744,0.05149166666666657,0.058991666666666255,,
2023-11-15T14:56:00Z,b,SE,37.985,long,buy_next_long_position,26753.696116451767,,33.26734539969793,0.006961063826861546,0.021613717359147383,0.6418304018696629,0.02499999999999858,0.02499999999999858,-0.0,0.029408333333332592,0.058991666666666255,,
2023-11-15T14:57:00Z,b,SE,37.89,out,sell_previous_long_position,13376.848058225882,,38.534614544660144,-0.00040883727649023707,0.015220934338238656,0.577526525600523,-0.09499999999999886,0.0,0.09499999999999886,0.029408333333332592,0.046908333333332664,,
2023-11-15T14:58:00Z,b,SE,37.89,out,no_action,26720.240790256386,,52.21186566060057,-0.012051223295745173,0.011248007713773878,0.577526525600523,0.0,0.0,-0.0,0.029408333333332592,0.026916666666666107,,
2023-11-15T14:59:00Z,b,SE,37.65,out,no_action,26720.240790256386,,27.63496143958851,-0.026807270692242556,0.0067307544173817735,0.4150746276574292,-0.240000000000002,0.0,0.240000000000002,0.01791666666666636,0.046916666666666273,,
2023-11-15T15:00:00Z,b,SE,37.79,out,no_action,26720.240790256386,,39.010989010988816,-0.031139321304058453,0.0025477120568621336,0.5098382347909002,0.14000000000000057,0.14000000000000057,-0.0,0.029583333333333073,0.04624999999999998,,
